artist,followers,popularity,offer
Beamer Wigley,593,16,47787.07
Bedouin Soundclash,54488,45,10000.0
Bee Fahel,0,0,2000.0
Begonia,10781,36,18796.0
Behrooz Mihankhah,0,0,10000.0
Belle Envie,221,8,2000.0
Ben Caplan,46922,42,38359.0
Ben Cottrill,599,9,1150.0
Ben Heffernan,0,0,2000.0
Ben Klick,332,6,2000.0
Ben Rogers,2612,20,2000.0
Bend Sinister,4253,26,1232.0
Benita,960,26,10000.0
Benjamin Dakota Rogers,1443,19,11553.0
Beppie,100,20,2000.0
Best Friends Club,2270,40,2000.0
Beverly Glenn-Copeland,21086,40,10000.0
Beyond Creation,68776,38,28938.0
Bianca James,0,0,34750.0
Biawanna,617,21,2000.0
Bibi Club,337,8,2000.0
Big Little Lions,4665,31,1380.0
Billie Zizi,220,2,2000.0
Birds of Bellwoods,6564,36,25076.3
Black Tiger Sex Machine,110228,52,58121.44
Blair Lee,1127,32,2000.0
Blessed,17668,45,22280.0
Blitz//Berlin,0,0,39332.0
Blonde Diamond,761,20,10000.0
Blue Hawaii,42869,43,55681.54
Blue Moon Marquee,823,14,13450.0
Blue Sky Miners,157,1,2000.0
Bluebloods,101,1,2000.0
Bobby Bazini,26545,45,24429.0
Bobby Dove,373,11,2000.0
Bobby Dreadfull Boyd,0,0,2000.0
Bocephus King,770,9,30044.0
Bodywash,2488,19,6600.0
Boniface,5012,22,6072.5
Bonjay,1488,7,3420.0
Borelson,125,3,2000.0
Born Ruffians,83627,48,24929.0
Born at Midnite,732,18,2000.0
Botnek,26604,41,1553.0
Boyhood,7303,32,2000.0
Brad Reid,14,0,2000.0
Braden Gates,214,6,5283.15
Braden Lam,621,12,29407.07
Brandi Disterheft,633,11,20095.0
Brandon Watt,115,1,2000.0
Breagh Isabel,761,39,2000.0
Bree Taylor,4041,18,16555.98
Breeze,3478,41,5447.44
Bridal Party,1723,23,2000.0
Brielle Ansems,120,2,14815.25
Britt,0,0,10000.0
Brittany Kennell,743,27,2000.0
Bronze,5235,39,2000.0
Brooke Palsson,260,2,10000.0
Bruno Capinan,2144,43,2460.0
Buckman Coe,946,8,18760.0
Bud Rice,349,8,1265.0
Bud Roach,25,12,2000.0
Bufflo,260,31,10000.0
Bukola,204,8,42417.0
Bywater Call,631,8,10000.0
Bùmarang,46,2,2000.0
CFCF,12007,41,8175.64
CHANCES,8,0,4554.0
CHIMP IT,93,1,2000.0
CIVILIANA,181,3,2000.0
CMDWN,10601,33,15451.71
CODE Quartet,92,12,19683.0
CRNKSHFT,328,4,2000.0
CRaymak,6544,34,2000.0
CRi,0,0,2000.0
CXC,15,19,2000.0
Caardia,85,0,2000.0
Cain Price,48,7,2000.0
Caj Flow,1792,25,2000.0
Caleigh Barker,88,21,2000.0
Cam Blake,152,9,2000.0
Camille Delean,236,2,2000.0
Campbell + Green,43,0,2000.0
Canadian Chamber Choir,80,3,14770.0
Cancer Bats,69487,42,33752.0
Cara Bateman,387,14,2000.0
Caracol,2402,25,2645.0
Carbon Memory,196,9,2000.0
Care Station,0,0,2000.0
Caribou Run,143,5,2000.0
Carmanah,4916,27,62203.0
Carmen Elyse Braden,0,0,15000.0
Carol Welsman,12284,45,5175.0
Caroline Lizotte,11,1,10000.0
Caroline Valentine,73,0,2000.0
Carolyn Dawn Johnson,40019,33,10000.0
Carson Hoy,1095,0,2000.0
Carson Teal,35,0,2000.0
Cartel Madras,5883,35,1000.0
Carter & The Capitals,672,9,2000.0
Cartoon Lizard,397,5,2000.0
Casper Skulls,2213,12,11265.0
Cassandra Maze,161,3,2000.0
Cassidy Waring,272,3,2000.0
Cassie Dasilva,2617,39,17930.0
Cassie and Maggie,1030,17,10000.0
Cat Clyde,34241,48,26354.73
Cat Murphy Band,103,14,2000.0
Catalina Reapers,0,0,2000.0
Cate,34553,50,30175.0
Catherine MacLellan,5986,26,5876.0
CeVILAIN,1489,30,1265.0
Cecile Believe,8296,41,12075.0
Cee,0,0,2000.0
Celeigh Cardinal,1635,34,20000.0
Celeste,243122,66,2000.0
Celina Wolfe,0,0,21702.0
Cellphone,82,0,2000.0
Century Egg,94,6,1639.0
Ceréna,285,23,22461.0
Chad Price,659,13,48848.0
Chad VanGaalen,46403,43,6000.0
Chair Warriors,278,6,2000.0
Chairmen Of The Boards,23,0,2000.0
ChampagneWeather,0,0,2000.0
Chandra,0,0,1421.26
Chantel Riley,264,1,2700.0
Chara Kai-Le,94,16,2000.0
Charissa,6,0,11568.5
Charke Cormier Duo,0,0,8330.87
Charlene Amour,103,0,2000.0
Charles Freeman,0,0,1983.73
Charlie PS,749,16,2000.0
Charlotte Cardin,272474,67,59196.0
Charlotte Cornfield,2049,17,1035.0
Chastity,9263,26,26680.0
Chelsea McBride's Socialist Night School,209,3,6585.19
Chersea,468,13,11473.24
Cheryl Duvall,33,4,10000.0
Chet Doxas,200,1,18406.0
Chin Injeti,13485,30,9500.0
Chloé Caroline,3970,20,10000.0
Chris Buck,938,21,37070.0
Chris Ho,0,0,2000.0
Chris Hoather,8,0,2000.0
Chris Ronald,129,6,39385.0
Chris Ryan,105,38,2000.0
Christian Howse,136,6,13525.29
Christian Sean,275,3,2000.0
Christina Martin,702,14,32818.0
Christo Graham,229,5,5882.25
Christopher Lawson,5,0,2000.0
Christopher Vassiliadis,0,0,2000.0
ChromaDuo,57,6,2000.0
Chubby Cree,0,0,2000.0
Chynna Lewis,34,0,4000.0
Chèlle,189,25,2000.0
Cigar Club,529,7,2000.0
Cinde,376,29,2000.0
Cinzia & The Eclipse,1511,37,2000.0
Claire Coupland,90,0,2000.0
Claire Morrison,71,1,2000.0
Claire Ness,39,1,2000.0
Claire Ridgely,8203,55,2000.0
Clare Follett,210,16,12601.0
Classified,82956,54,10417.72
Clayton Bellamy,153,26,49398.0
Close Talker,5491,23,29226.0
Coco Méliès,1512,16,26758.63
Cody Coyote,1928,19,16880.0
Coldwater Road,321,3,2000.0
Colin Sankey,1,0,2000.0
Comeback Kid,123651,48,75000.0
Common Holly,5541,19,1265.0
Conch,2030,31,2000.0
Conrad,197,27,2000.0
Conro,43168,59,54100.0
Constance,271,33,2000.0
Constantinople,7987,38,10000.0
Contious,21,0,2000.0
Cory Gallant,180,9,3800.0
Cory Hotline,1397,23,2000.0
Cory Weeds,820,14,34642.0
Countermeasure,186,10,3725.0
Counterparts,135197,52,30000.0
Courage My Love,33982,35,17780.0
Cowbo Morsche,86,5,2000.0
Crack Cloud,21936,36,78120.42
Craig Cardiff,22265,50,17441.31
Cross Dog,269,1,2000.0
Crushhh,0,0,2000.0
Crying High,135,1,13632.09
Cryptozoologists,43,1,2000.0
Crystal Eyes,9581,29,3830.0
Current Swell,60004,51,58201.25
Curtis Phagoo,0,0,2000.0
D LOPEZ,0,0,10341.06
D.O.,1050385,55,3312.0
DEBBY FRIDAY,3520,26,10000.0
DELACHUTE,4997,36,2000.0
DEPESTRE,7,0,10000.0
DF,0,0,2000.0
DJ POWER,36,12,4692.0
DJ krayzkree,84,3,11328.0
DOMENO,4423,41,15507.03
DOOMSQUAD,2583,10,15143.0
DRU,0,0,44634.39
DYLYN,8214,36,24743.75
Dabin,109445,63,9187.0
Dan Bremnes,26119,45,48772.5
Dan Davidson,7724,40,15068.69
Dan Mangan,56094,47,38239.0
Dan McKinnon,23,0,2000.0
Dan Moxon,346,9,12973.01
Dan-e-o,0,0,12654.5
Dana Gavanski,4465,28,32772.37
Dani Nash,304,6,36166.0
Daniel Benjamin Hollenberg,0,0,1749.0
Daniel Caesar,2751253,87,79000.0
Daniel Hersog,0,0,12529.0
Daniel James McFadyen,754,15,2000.0
Daniel Levitin,1,0,2000.0
Daniel Romano,24194,43,52151.21
Daniela Andrade,358653,61,68864.19
Danielle Knibbe,405,6,1380.0
Danko Jones,153768,56,36500.0
Danny Bell and His Disappointments,101,3,2000.0
Dany Laj & The Looks,0,0,17399.07
Darkest Horse,97,0,18335.03
Darryl James,57,7,2000.0
Darryl Kissick,108,44,2000.0
Daryl Kelly,0,0,2000.0
Das Mörtal,12923,40,20115.0
Dave Allen,210,5,10000.0
Dave Carroll,845,20,2000.0
Dave Gunning,2056,22,1380.0
Dave Hartney,207,5,2000.0
Dave Monks,2492,21,10000.0
Dave Sully,34,0,2000.0
Dave Young,429,21,4140.0
David Boyd Janes,1098,23,30000.0
David Francey,6178,33,6936.0
David King,170,22,2000.0
David Leask,122,3,21967.31
David Myles,8857,42,1725.0
David Newland,16,0,1725.0
David Pomeroy,15,0,10000.0
David Restivo,27,4,5204.0
David Strickland,720,14,14341.0
Dawn to Dawn,199,10,2000.0
Dead Quiet,2906,18,35388.0
Dean Brody,124903,61,58911.5
Deanna Petcoff,1285,19,2000.0
Dear Father,220,0,2000.0
Dear Rouge,19571,36,40000.0
Deathpact,20020,49,33280.0
Deathsticks,111,0,1035.0
Deb Rhymer,21,0,2000.0
Deborah Grimmett,16,1,10000.0
Debra-Jean Creelman,169,6,2000.0
December Rose,1073,7,12000.0
Dee Daniels,289,9,39848.0
Def3,3032,35,41955.0
Del Barber,2088,26,14608.130000000001
Delaney Jane,46738,61,117102.8
Dele O,0,0,3656.0
Delhi 2 Dublin,6999,21,6138.0
Deliluh,1589,16,4277.0
Delta Creek,44,0,2000.0
Delti Becker,250,21,2000.0
Demetrios Petsalakis,11,1,2000.0
Dempsey Bolton,3152,15,4000.0
Denise Valle,446,6,4760.0
Dennis Ellsworth,520,14,4460.0
Deperuse,280,5,2000.0
Derek Orsi,190,5,2000.0
Derrick Gardner,54,0,43975.0
Desiree Dawson,7535,43,7384.0
Desiree Dorion,211,8,1380.0
Despised Icon,96161,40,30000.0
Destroyer,142140,48,115000.0
Devarrow,3826,39,22118.25
Devon Welsh,3444,15,23821.85
Devontée,2017,26,1656.0
Diamondtown,486,14,4530.0
Didem Basar,19,10,10000.0
Digging Roots,1591,14,12400.0
